sep=;
Time;cpu/usage_rate.sum;memory/usage.mean
2019-08-05T09:57:17.000Z;null;null
2019-08-05T09:57:18.000Z;null;null
2019-08-05T09:57:19.000Z;null;null
2019-08-05T09:57:20.000Z;null;null
2019-08-05T09:57:21.000Z;null;null
2019-08-05T09:57:22.000Z;null;null
2019-08-05T09:57:23.000Z;null;null
2019-08-05T09:57:24.000Z;null;null
2019-08-05T09:57:25.000Z;null;null
2019-08-05T09:57:26.000Z;null;null
2019-08-05T09:57:27.000Z;null;null
2019-08-05T09:57:28.000Z;null;null
2019-08-05T09:57:29.000Z;null;null
2019-08-05T09:57:30.000Z;60;67476918.85714285
2019-08-05T09:57:31.000Z;null;null
2019-08-05T09:57:32.000Z;null;null
2019-08-05T09:57:33.000Z;null;null
2019-08-05T09:57:34.000Z;null;null
2019-08-05T09:57:35.000Z;null;null
2019-08-05T09:57:36.000Z;null;null
2019-08-05T09:57:37.000Z;null;null
2019-08-05T09:57:38.000Z;null;null
2019-08-05T09:57:39.000Z;null;null
2019-08-05T09:57:40.000Z;null;null
2019-08-05T09:57:41.000Z;null;null
2019-08-05T09:57:42.000Z;null;null
2019-08-05T09:57:43.000Z;null;null
2019-08-05T09:57:44.000Z;null;null
2019-08-05T09:57:45.000Z;195;58429440
2019-08-05T09:57:46.000Z;null;null
2019-08-05T09:57:47.000Z;null;null
2019-08-05T09:57:48.000Z;null;null
2019-08-05T09:57:49.000Z;null;null
2019-08-05T09:57:50.000Z;null;null
2019-08-05T09:57:51.000Z;null;null
2019-08-05T09:57:52.000Z;null;null
2019-08-05T09:57:53.000Z;null;null
2019-08-05T09:57:54.000Z;null;null
2019-08-05T09:57:55.000Z;null;null
2019-08-05T09:57:56.000Z;null;null
2019-08-05T09:57:57.000Z;null;null
2019-08-05T09:57:58.000Z;null;null
2019-08-05T09:57:59.000Z;null;null
2019-08-05T09:58:00.000Z;42;58429440
